Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
15-10-13_00,13.3,23.8,18.0,0.0,197.0,2.0
15-10-14_00,13.3,17.5,15.3,0.0,183.0,3.0
15-10-15_00,7.0,14.6,10.6,0.0,271.0,4.0
15-10-16_00,5.1,13.5,9.0,0.0,236.0,3.0
15-10-17_00,6.3,10.4,8.5,0.0,242.0,3.0
15-10-18_00,0.9,6.3,3.2,0.0,277.0,2.0
15-10-19_00,-1.2,3.0,0.7,0.0,288.0,3.0
15-10-20_00,-1.3,7.8,2.7,0.0,232.0,2.0
15-10-21_00,7.3,16.7,12.8,0.0,251.0,4.0
15-10-22_00,3.4,9.5,6.6,0.0,141.0,2.0
15-10-23_00,3.7,16.7,10.3,0.0,226.0,4.0
15-10-24_00,3.1,8.1,5.3,0.0,214.0,3.0
15-10-25_00,1.2,9.3,5.7,0.0,136.0,3.0
15-10-26_00,,,,0.0,,
15-10-27_00,,,,0.0,,
15-10-28_00,8.2,10.3,9.1,0.0,223.0,2.0
15-10-29_00,2.1,9.9,5.8,0.0,103.0,3.0
15-10-30_00,7.4,15.1,10.7,0.0,205.0,4.0
15-10-31_00,3.5,8.7,6.0,0.0,281.0,4.0
15-11-01_00,2.4,8.3,5.5,0.0,194.0,2.0
15-11-02_00,5.8,12.9,8.4,0.0,184.0,4.0
15-11-03_00,8.5,10.8,9.9,0.0,256.0,3.0
15-11-04_00,6.9,15.0,10.2,0.0,226.0,2.0
15-11-05_00,7.0,13.4,9.7,0.0,166.0,2.0
15-11-06_00,5.9,18.6,11.1,0.0,171.0,1.0
15-11-07_00,12.6,19.2,16.4,0.0,204.0,3.0
15-11-08_00,5.9,11.8,8.8,0.0,278.0,4.0
15-11-09_00,1.0,7.0,4.7,0.0,274.0,4.0
15-11-10_00,6.1,11.2,8.3,0.0,246.0,3.0
15-11-11_00,5.5,12.0,8.3,0.0,144.0,2.0
15-11-12_00,5.6,10.2,7.5,0.0,133.0,2.0
15-11-13_00,6.0,11.6,9.1,0.0,134.0,3.0
15-11-14_00,5.2,10.2,8.3,0.0,262.0,4.0
15-11-15_00,-0.1,3.6,1.3,0.0,284.0,6.0
15-11-16_00,0.1,7.3,4.3,0.0,269.0,4.0
15-11-17_00,1.8,7.0,4.8,0.0,251.0,3.0
15-11-18_00,-0.9,4.1,1.6,0.0,153.0,2.0
15-11-19_00,-1.2,9.6,4.8,0.0,116.0,3.0
15-11-20_00,9.6,13.4,11.6,0.0,144.0,4.0
15-11-21_00,3.8,11.4,7.8,0.0,244.0,4.0
15-11-22_00,2.0,4.7,3.4,0.0,168.0,3.0
15-11-23_00,0.7,7.4,5.2,0.0,223.0,4.0
15-11-24_00,-3.8,0.4,-1.9,0.0,291.0,3.0
15-11-25_00,-5.9,-2.0,-3.7,0.0,165.0,2.0
15-11-26_00,-4.1,4.0,-0.2,0.0,135.0,2.0
15-11-27_00,4.0,9.7,7.2,0.0,177.0,3.0
15-11-28_00,2.6,15.0,10.2,0.0,187.0,3.0
15-11-29_00,-2.6,1.9,-0.5,0.0,227.0,2.0
15-11-30_00,-4.3,0.0,-2.3,0.0,220.0,3.0
15-12-01_00,-9.1,-2.2,-5.2,0.0,146.0,2.0
15-12-02_00,-4.2,4.2,-0.7,0.0,112.0,2.0
15-12-03_00,3.3,5.5,4.4,0.0,195.0,1.0
15-12-04_00,2.0,5.2,3.6,0.0,288.0,3.0
15-12-05_00,0.6,5.7,3.4,0.0,270.0,4.0
15-12-06_00,4.5,6.2,5.5,0.0,251.0,3.0
15-12-07_00,3.0,4.6,3.7,0.0,227.0,2.0
15-12-08_00,1.2,4.8,3.1,0.0,251.0,3.0
15-12-09_00,-0.1,3.7,1.9,0.0,93.0,2.0
15-12-10_00,1.5,6.7,3.9,0.0,119.0,3.0
15-12-11_00,6.1,9.9,8.3,0.0,195.0,2.0
15-12-12_00,8.2,14.1,10.3,0.0,192.0,3.0
15-12-13_00,5.0,9.8,8.1,0.0,273.0,3.0
15-12-14_00,0.5,4.1,2.1,0.0,131.0,3.0
15-12-15_00,0.8,3.5,2.5,0.0,138.0,2.0
15-12-16_00,2.1,4.5,3.4,0.0,212.0,2.0
15-12-17_00,0.1,1.8,0.8,0.0,107.0,2.0
15-12-18_00,0.7,9.0,5.5,0.0,147.0,2.0
15-12-19_00,1.9,7.6,3.6,0.0,275.0,4.0
15-12-20_00,-3.2,1.9,-0.2,0.0,280.0,5.0
15-12-21_00,-5.7,-0.3,-3.3,0.0,249.0,3.0
15-12-22_00,-0.4,4.6,2.2,0.0,183.0,2.0
15-12-23_00,1.6,5.1,3.1,0.0,159.0,2.0
15-12-24_00,1.9,5.2,3.5,0.0,148.0,1.0
15-12-25_00,7.8,16.3,12.0,0.0,195.0,4.0
15-12-26_00,5.3,8.0,6.7,0.0,265.0,3.0
15-12-27_00,0.7,4.7,2.7,0.0,233.0,2.0
15-12-28_00,-2.8,1.8,-0.7,0.0,143.0,3.0
15-12-29_00,-11.1,-3.9,-9.5,0.0,158.0,3.0
15-12-30_00,-12.2,-7.5,-9.6,0.0,71.0,4.0
15-12-31_00,-8.5,-4.6,-6.9,0.0,139.0,2.0
16-01-01_00,-4.9,-0.4,-1.8,0.0,252.0,3.0
16-01-02_00,-2.9,-0.0,-1.2,0.0,266.0,3.0
16-01-03_00,-3.9,0.6,-1.3,0.0,262.0,4.0
16-01-04_00,-8.4,0.4,-1.4,0.0,225.0,3.0
16-01-05_00,-18.0,-11.8,-15.0,0.0,250.0,3.0
16-01-06_00,-17.1,-8.4,-14.1,0.0,255.0,2.0
16-01-07_00,-8.6,0.3,-4.3,0.0,210.0,2.0
16-01-08_00,-2.5,1.1,-0.7,0.0,212.0,2.0
16-01-09_00,-4.8,0.5,-2.8,0.0,142.0,2.0
16-01-10_00,1.4,4.8,3.5,0.0,136.0,4.0
16-01-11_00,2.3,8.5,5.2,0.0,135.0,4.0
16-01-12_00,-9.8,-0.0,-7.2,0.0,275.0,6.0
16-01-13_00,-10.1,-3.5,-7.0,0.0,151.0,3.0
16-01-14_00,-12.2,-3.6,-9.8,0.0,271.0,5.0
16-01-15_00,-12.9,-8.4,-10.6,0.0,145.0,2.0
16-01-16_00,-13.0,-7.9,-10.2,0.0,91.0,3.0
16-01-17_00,-8.3,-1.6,-4.6,0.0,183.0,3.0
16-01-18_00,-9.9,-3.6,-6.8,0.0,189.0,3.0
16-01-19_00,-13.5,-7.0,-9.5,0.0,243.0,5.0
16-01-20_00,-16.5,-8.8,-13.5,0.0,274.0,7.0
16-01-21_00,-10.6,-4.6,-7.8,0.0,272.0,5.0
16-01-22_00,-11.8,-6.5,-8.9,0.0,283.0,3.0
16-01-23_00,-8.4,-2.7,-6.1,0.0,283.0,3.0
16-01-24_00,-11.8,-7.2,-9.4,0.0,115.0,3.0
16-01-25_00,-11.6,-6.2,-8.6,0.0,264.0,2.0
16-01-26_00,-6.5,-0.6,-3.4,0.0,186.0,2.0
16-01-27_00,-1.4,5.9,1.5,0.0,191.0,4.0
16-01-28_00,-6.1,3.4,-3.0,0.0,274.0,4.0
16-01-29_00,-6.4,2.3,-2.1,0.0,150.0,2.0
16-01-30_00,-3.4,2.3,0.2,0.0,182.0,3.0
16-01-31_00,-8.7,0.7,-5.0,0.0,210.0,4.0
16-02-01_00,-0.7,5.5,2.9,0.0,186.0,2.0
16-02-02_00,1.7,8.9,5.0,0.0,248.0,4.0
