Date,Temperature minimale,Temperature maximale,Temperature moyenne,Precipitation totale,Dir_wind,Mod_wind
14-12-09_00,-13.4,-2.7,-9.5,0.0,98.0,3.0
14-12-10_00,-3.5,-0.0,-2.0,0.0,119.0,3.0
14-12-11_00,-0.8,0.1,-0.3,0.0,74.0,5.0
14-12-12_00,-2.4,0.4,-0.4,0.0,183.0,3.0
14-12-13_00,-3.7,-1.4,-3.1,0.0,257.0,4.0
14-12-14_00,-4.2,-0.3,-2.8,0.0,251.0,3.0
14-12-15_00,-3.3,-0.6,-1.9,0.0,273.0,3.0
14-12-16_00,-0.9,0.0,-0.4,0.0,266.0,2.0
14-12-17_00,-1.8,1.0,-0.5,0.0,102.0,2.0
14-12-18_00,-0.1,1.1,0.5,0.0,203.0,2.0
14-12-19_00,-1.8,0.9,-0.1,0.0,289.0,3.0
14-12-20_00,-6.5,-1.4,-4.2,0.0,273.0,2.0
14-12-21_00,-11.6,-6.1,-8.9,0.0,159.0,1.0
14-12-22_00,-10.4,-7.3,-8.6,0.0,84.0,2.0
14-12-23_00,-8.3,-5.2,-6.9,0.0,89.0,3.0
14-12-24_00,-5.6,2.9,-0.7,0.0,107.0,2.0
14-12-25_00,2.9,6.8,5.1,0.0,125.0,4.0
14-12-26_00,4.2,9.5,6.0,0.0,240.0,6.0
14-12-27_00,3.5,4.6,4.2,0.0,258.0,4.0
14-12-28_00,3.0,6.4,4.2,0.0,223.0,3.0
14-12-29_00,-0.7,9.4,4.1,0.0,263.0,4.0
14-12-30_00,-9.9,-0.2,-5.9,0.0,278.0,4.0
14-12-31_00,-14.5,-9.8,-12.1,0.0,280.0,3.0
15-01-01_00,-13.3,-6.4,-9.5,0.0,254.0,3.0
15-01-02_00,-7.3,-3.0,-4.9,0.0,231.0,3.0
15-01-03_00,-12.0,-3.2,-7.8,0.0,282.0,4.0
15-01-04_00,-15.3,-8.7,-12.5,0.0,113.0,2.0
15-01-05_00,-8.8,3.9,-2.6,0.0,178.0,3.0
15-01-06_00,-17.2,-3.4,-13.2,0.0,279.0,7.0
15-01-07_00,-17.5,-8.9,-12.8,0.0,227.0,2.0
15-01-08_00,-25.2,-8.9,-15.8,0.0,250.0,4.0
15-01-09_00,-26.2,-7.6,-18.0,0.0,213.0,3.0
15-01-10_00,-12.2,-6.0,-8.3,0.0,227.0,3.0
15-01-11_00,-12.5,-8.4,-10.5,0.0,245.0,3.0
15-01-12_00,-9.9,-4.1,-7.1,0.0,209.0,3.0
15-01-13_00,-15.1,-1.1,-3.9,0.0,238.0,3.0
15-01-14_00,-20.4,-15.0,-17.6,0.0,243.0,2.0
15-01-15_00,-19.8,-13.6,-16.2,0.0,145.0,2.0
15-01-16_00,-17.2,-5.0,-11.6,0.0,144.0,2.0
15-01-17_00,-18.8,-2.2,-9.9,0.0,271.0,5.0
15-01-18_00,-21.7,-13.7,-18.4,0.0,185.0,3.0
15-01-19_00,-13.7,3.7,-1.8,0.0,191.0,3.0
15-01-20_00,-11.9,1.6,-2.6,0.0,277.0,5.0
15-01-21_00,-17.8,-11.9,-15.0,0.0,271.0,5.0
15-01-22_00,-15.2,-9.7,-12.9,0.0,147.0,2.0
15-01-23_00,-15.1,-7.2,-11.4,0.0,253.0,2.0
15-01-24_00,-9.5,0.0,-4.3,0.0,230.0,4.0
15-01-25_00,-3.2,-0.7,-1.6,0.0,245.0,3.0
15-01-26_00,-15.3,-1.5,-11.0,0.0,284.0,5.0
15-01-27_00,-17.9,-14.0,-15.8,0.0,124.0,3.0
15-01-28_00,-15.3,-9.3,-12.6,0.0,94.0,5.0
15-01-29_00,-12.9,-7.8,-10.3,0.0,256.0,3.0
15-01-30_00,-11.4,-0.5,-7.3,0.0,141.0,2.0
15-01-31_00,-16.1,-2.0,-6.4,0.0,257.0,3.0
15-02-01_00,-21.6,-13.7,-17.6,0.0,273.0,4.0
15-02-02_00,-20.1,-13.1,-15.2,0.0,240.0,3.0
15-02-03_00,-22.6,-16.6,-19.6,0.0,116.0,4.0
15-02-04_00,-20.6,-7.1,-14.5,0.0,225.0,3.0
15-02-05_00,-7.9,-3.4,-6.2,0.0,207.0,3.0
